City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
59,Itarema,BR,88.75,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
60,Cabedelo,BR,88.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
61,Mahebourg,MU,79.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
63,Atuona,PF,78.4,light rain,-9.8,-139.0333,Villa Enata
65,Chirongui,YT,80.53,clear sky,-12.9319,45.1483,La Villa Mahatsara
70,Les Cayes,HT,85.39,scattered clouds,18.2,-73.75,Villa Orphee
71,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
75,Luwingu,ZM,73.49,broken clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
76,Maragogi,BR,84.97,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
80,Chimbote,PE,71.4,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
81,Kontagora,NG,87.91,overcast clouds,10.3999,5.4695,Queens Guest Inn
84,Mount Isa,AU,80.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
87,Yarada,IN,75.52,haze,17.65,83.2667,Vishranti
95,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
96,Port Keats,AU,84.43,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
100,Mananjary,MG,77.45,broken clouds,-21.2167,48.3333,Vahiny Lodge
101,Kavieng,PG,82.02,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
102,Qui Nhon,VN,72.63,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
104,Sao Filipe,CV,75.06,overcast clouds,14.8961,-24.4956,Hotel Xaguate
106,Ilhabela,BR,77.94,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
114,Chauk,MM,70.23,scattered clouds,20.8833,94.8167,Bo Khin Guest House
115,Hithadhoo,MV,82.15,overcast clouds,-0.6,73.0833,Scoop Guest House
116,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
117,Sotouboua,TG,89.37,overcast clouds,8.5667,0.9833,Auberge Médina
119,Broken Hill,AU,74.91,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
121,Castro,BR,83.59,clear sky,-24.7911,-50.0119,CHACARA BAILLY
122,Olinda,BR,87.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
127,Hambantota,LK,77.65,clear sky,6.1241,81.1185,Bungalow 63
131,Mitu,CO,87.39,broken clouds,1.1983,-70.1733,
142,Faanui,PF,80.91,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
144,Nabinagar,BD,77.07,few clouds,23.8917,90.9733,Padma'r Sworone
145,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
146,Bondo,CD,75.72,overcast clouds,3.8146,23.6866,
149,Yanam,IN,81.0,clear sky,16.7333,82.2167,The Regency Hotel
152,Aswan,EG,78.1,clear sky,24.0934,32.907,Nuba Nile
153,Georgetown,MY,80.89,moderate rain,5.4112,100.3354,Cititel Penang
154,Kavaratti,IN,81.63,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
156,Tevaitoa,PF,81.34,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
